"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD3D",0,5.9103600425478,0.621,0.031,0,"0","CD3D"
"PTPRC",0,3.19917614189211,0.817,0.264,0,"0","PTPRC"
"CD2",0,5.83091679326749,0.573,0.028,0,"0","CD2"
"TRBC2",0,4.89733949267817,0.565,0.057,0,"0","TRBC2"
"TRBC1",0,6.10861357675466,0.481,0.028,0,"0","TRBC1"
"CXCR4",0,2.32282240989079,0.787,0.344,0,"0","CXCR4"
"CD3E",0,5.87882413579366,0.435,0.019,0,"0","CD3E"
"TIGIT",0,5.44885381621656,0.434,0.031,0,"0","TIGIT"
"TRAC",0,4.82510554046311,0.444,0.042,0,"0","TRAC"
"CD7",0,5.38266813494861,0.434,0.034,0,"0","CD7"
"CLEC2D",0,2.93315014469358,0.536,0.137,0,"0","CLEC2D"
"SPOCK2",0,4.17664690991719,0.445,0.054,0,"0","SPOCK2"
"GIMAP7",0,5.69787980540209,0.407,0.026,0,"0","GIMAP7"
"BICDL1",0,4.62426868851475,0.432,0.069,0,"0","BICDL1"
"ITM2A",0,3.24042045256472,0.477,0.117,0,"0","ITM2A"
"LEPROTL1",0,3.50485464123236,0.531,0.188,0,"0","LEPROTL1"
"BCL11B",0,4.66794388026615,0.377,0.053,0,"0","BCL11B"
"CD3G",0,5.94845868775586,0.336,0.016,0,"0","CD3G"
"FYB1",0,4.48492576417238,0.381,0.064,0,"0","FYB1"
"CCL5",0,4.74762188578433,0.379,0.065,0,"0","CCL5"
"CD96",0,4.54380083383811,0.318,0.03,0,"0","CD96"
"PPP2R5C",0,2.90420419227108,0.642,0.357,0,"0","PPP2R5C"
"CD247",0,5.63275600087869,0.285,0.015,0,"0","CD247"
"SARAF",0,1.97609967055661,0.836,0.681,0,"0","SARAF"
"BTG1",0,1.07791424580099,0.962,0.889,0,"0","BTG1"
"MALAT1",0,0.759141133222842,0.999,0.939,0,"0","MALAT1"
"RPL14",0,0.814018664493445,0.993,0.951,0,"0","RPL14"
"RPS29",0,1.02605697888484,0.992,0.953,0,"0","RPS29"
"TMSB4X",0,1.37654753401996,0.997,0.958,0,"0","TMSB4X"
"RPS25",0,0.818956880709647,0.984,0.956,0,"0","RPS25"
"RPS26",0,0.9445326281135,0.988,0.961,0,"0","RPS26"
"RPL21",0,0.829274235408641,0.988,0.963,0,"0","RPL21"
"RPL23A",0,0.80743306336077,0.986,0.962,0,"0","RPL23A"
"MT-ATP6",0,1.04729758670508,0.997,0.978,0,"0","MT-ATP6"
"RPS14",0,0.878222116515295,0.994,0.977,0,"0","RPS14"
"RPS15A",0,0.951721794270221,0.994,0.98,0,"0","RPS15A"
"RPS3",0,0.871615015257999,0.995,0.982,0,"0","RPS3"
"RPS27",0,1.04673953675411,0.997,0.987,0,"0","RPS27"
"RPS16",0,0.925764630929296,0.992,0.984,0,"0","RPS16"
"RPL28",0,0.793204333848967,0.997,0.989,0,"0","RPL28"
"RPL13",0,0.761113680328398,0.998,0.993,0,"0","RPL13"
"DDX5",6.12642709238607e-308,1.20056683499416,0.891,0.823,2.24233358008422e-303,"0","DDX5"
"SH2D1A",8.15104416334007e-307,5.82107269712307,0.269,0.014,2.9833636742241e-302,"0","SH2D1A"
"MT-CYB",7.96561114810596e-305,0.832382191592712,0.991,0.973,2.91549333631826e-300,"0","MT-CYB"
"KLRB1",9.46422370495702e-301,6.37921812910729,0.261,0.012,3.46400051825132e-296,"0","KLRB1"
"RPS15",5.47018970323098e-296,0.64628810877648,0.995,0.981,2.00214413327957e-291,"0","RPS15"
"MT-CO2",1.10555192648197e-293,0.810635021724432,0.994,0.972,4.04643060611667e-289,"0","MT-CO2"
"NKG7",5.77047212692283e-292,5.5035315200775,0.314,0.038,2.11205050317502e-287,"0","NKG7"
"LCK",1.31898280780641e-291,5.26430921317088,0.281,0.023,4.82760897485226e-287,"0","LCK"
"RPL30",5.12513148689515e-289,0.660844023488341,0.995,0.984,1.8758493755185e-284,"0","RPL30"
"RPL34",4.78222923287904e-288,0.736254210447227,0.989,0.966,1.75034372152606e-283,"0","RPL34"
"RPS19",5.21410989742404e-286,0.679266760688584,0.996,0.987,1.90841636355617e-281,"0","RPS19"
"RPL41",6.29857045630082e-280,0.581461669987411,0.999,0.994,2.30533977271066e-275,"0","RPL41"
"FYN",1.86135615318633e-277,3.22003726129065,0.471,0.162,6.81274965627729e-273,"0","FYN"
"BATF",2.88324535108203e-276,4.03138405804343,0.354,0.066,1.05529663094953e-271,"0","BATF"
